Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2023-12-18 06:43:00,41184.95000000,41190.88000000,41184.94000000,41190.87000000,18.91031000,2023-12-18 06:43:59.999,778902.85122760,449,9.75069000,401619.15591760,0
2023-12-18 06:44:00,41190.88000000,41192.79000000,41190.87000000,41192.74000000,15.82324000,2023-12-18 06:44:59.999,651779.86118230,379,10.59265000,436324.21427890,0
2023-12-18 06:45:00,41192.74000000,41192.75000000,41170.99000000,41175.73000000,16.66532000,2023-12-18 06:45:59.999,686230.68471570,716,4.39297000,180876.78455540,0
2023-12-18 06:46:00,41175.73000000,41175.74000000,41175.73000000,41175.73000000,7.35921000,2023-12-18 06:46:59.999,303020.88047010,328,3.64968000,150278.27476320,0
2023-12-18 06:47:00,41175.73000000,41192.91000000,41164.00000000,41192.90000000,22.20997000,2023-12-18 06:47:59.999,914509.96481930,923,13.03374000,536674.98390380,0
2023-12-18 06:48:00,41192.91000000,41202.81000000,41192.90000000,41202.77000000,12.04089000,2023-12-18 06:48:59.999,496058.91339530,426,8.65269000,356472.71416020,0
2023-12-18 06:49:00,41202.77000000,41244.00000000,41202.76000000,41244.00000000,30.37612000,2023-12-18 06:49:59.999,1251975.22974250,751,28.65725000,1181123.71096030,0
2023-12-18 06:50:00,41244.00000000,41291.87000000,41235.02000000,41235.03000000,96.93295000,2023-12-18 06:50:59.999,3999422.16751770,2649,51.88192000,2140630.66318320,0
2023-12-18 06:51:00,41235.03000000,41239.99000000,41208.24000000,41224.09000000,25.85024000,2023-12-18 06:51:59.999,1065570.80011860,1346,12.75323000,525640.47949480,0
2023-12-18 06:52:00,41224.09000000,41226.17000000,41182.50000000,41182.50000000,46.74162000,2023-12-18 06:52:59.999,1926168.07676340,972,7.46810000,307628.66527600,0
2023-12-18 06:53:00,41182.50000000,41189.00000000,41165.34000000,41189.00000000,31.12857000,2023-12-18 06:53:59.999,1281710.12248440,1142,18.37481000,756544.64800480,0
2023-12-18 06:54:00,41189.00000000,41208.50000000,41188.99000000,41208.49000000,35.99383000,2023-12-18 06:54:59.999,1482885.91379840,660,22.77275000,938135.50850360,0
2023-12-18 06:55:00,41208.49000000,41218.00000000,41201.64000000,41201.65000000,19.02080000,2023-12-18 06:55:59.999,783885.75590720,946,8.70354000,358688.57344620,0
2023-12-18 06:56:00,41201.64000000,41257.37000000,41201.64000000,41242.01000000,49.85275000,2023-12-18 06:56:59.999,2055845.06798750,1259,44.06041000,1816966.32356590,0
2023-12-18 06:57:00,41242.01000000,41258.62000000,41228.91000000,41228.91000000,34.79014000,2023-12-18 06:57:59.999,1434812.92729650,1300,16.37877000,675505.84073050,0
2023-12-18 06:58:00,41228.91000000,41228.92000000,41183.02000000,41183.02000000,34.66796000,2023-12-18 06:58:59.999,1428498.70392110,891,7.51878000,309733.28221870,0
2023-12-18 06:59:00,41183.02000000,41213.48000000,41183.02000000,41210.47000000,34.76253000,2023-12-18 06:59:59.999,1432211.87690290,977,26.56973000,1094702.57027010,0
2023-12-18 07:00:00,41210.46000000,41210.47000000,41202.22000000,41202.23000000,11.48203000,2023-12-18 07:00:59.999,473153.72651390,531,5.41432000,223118.30450000,0
2023-12-18 07:01:00,41202.23000000,41218.83000000,41202.22000000,41211.94000000,21.34744000,2023-12-18 07:01:59.999,879806.49368570,999,7.81614000,322100.19874980,0
2023-12-18 07:02:00,41211.95000000,41211.95000000,41192.99000000,41193.00000000,9.99482000,2023-12-18 07:02:59.999,411787.85391480,580,2.44197000,100599.67440940,0
2023-12-18 07:03:00,41192.99000000,41193.00000000,41188.00000000,41188.01000000,8.81004000,2023-12-18 07:03:59.999,362899.04447520,415,3.45350000,142253.12735230,0
2023-12-18 07:04:00,41188.00000000,41188.01000000,41180.00000000,41180.00000000,4.68491000,2023-12-18 07:04:59.999,192944.33700860,489,0.82679000,34049.22203040,0
2023-12-18 07:05:00,41180.01000000,41185.95000000,41171.10000000,41185.94000000,11.30253000,2023-12-18 07:05:59.999,465413.56162330,517,8.13886000,335141.99560160,0
2023-12-18 07:06:00,41185.95000000,41216.45000000,41185.94000000,41211.62000000,25.07507000,2023-12-18 07:06:59.999,1033350.80982020,748,8.21508000,338491.03885890,0
2023-12-18 07:07:00,41211.62000000,41216.30000000,41197.28000000,41197.29000000,10.58993000,2023-12-18 07:07:59.999,436431.45060600,608,5.21761000,215024.59220100,0
2023-12-18 07:08:00,41197.28000000,41210.38000000,41194.00000000,41206.17000000,9.35942000,2023-12-18 07:08:59.999,385634.38423180,622,4.71074000,194094.99158160,0
2023-12-18 07:09:00,41206.16000000,41222.00000000,41206.16000000,41222.00000000,14.53433000,2023-12-18 07:09:59.999,599003.17429680,683,6.88669000,283791.66788500,0
2023-12-18 07:10:00,41222.00000000,41222.00000000,41208.56000000,41216.55000000,9.00281000,2023-12-18 07:10:59.999,371031.07464580,739,5.03516000,207504.86644250,0
2023-12-18 07:11:00,41216.54000000,41216.58000000,41210.01000000,41216.57000000,10.35529000,2023-12-18 07:11:59.999,426780.24868490,741,5.52257000,227601.95006070,0
2023-12-18 07:12:00,41216.57000000,41217.10000000,41210.01000000,41210.01000000,8.00490000,2023-12-18 07:12:59.999,329927.33680800,669,4.36622000,179953.96739580,0
2023-12-18 07:13:00,41210.02000000,41240.75000000,41210.01000000,41240.70000000,21.85991000,2023-12-18 07:13:59.999,901140.06025210,778,19.46116000,802277.34918520,0
2023-12-18 07:14:00,41240.70000000,41241.10000000,41238.74000000,41241.10000000,10.46131000,2023-12-18 07:14:59.999,431427.08176760,427,5.37511000,221668.35820840,0
2023-12-18 07:15:00,41241.09000000,41252.00000000,41238.00000000,41244.51000000,18.39580000,2023-12-18 07:15:59.999,758713.28686220,787,12.17561000,502168.71545890,0
2023-12-18 07:16:00,41244.50000000,41249.05000000,41244.12000000,41249.04000000,7.78637000,2023-12-18 07:16:59.999,321163.49740370,842,4.28431000,176710.95195150,0
2023-12-18 07:17:00,41249.05000000,41249.05000000,41245.04000000,41245.05000000,17.55107000,2023-12-18 07:17:59.999,723951.54142880,960,3.57089000,147295.31226170,0
2023-12-18 07:18:00,41245.04000000,41245.05000000,41235.34000000,41235.35000000,16.68478000,2023-12-18 07:18:59.999,688133.41201600,663,4.92866000,203278.40012510,0
2023-12-18 07:19:00,41235.35000000,41235.35000000,41213.92000000,41213.93000000,5.94707000,2023-12-18 07:19:59.999,245148.47948790,507,1.88059000,77514.19106130,0
2023-12-18 07:20:00,41213.92000000,41227.42000000,41213.92000000,41222.06000000,13.16685000,2023-12-18 07:20:59.999,542743.31076940,766,8.95145000,368961.88944370,0
2023-12-18 07:21:00,41222.06000000,41241.60000000,41222.05000000,41238.21000000,10.38426000,2023-12-18 07:21:59.999,428212.08584440,777,4.87260000,200909.90326180,0
2023-12-18 07:22:00,41238.20000000,41238.21000000,41232.00000000,41232.01000000,11.69165000,2023-12-18 07:22:59.999,482107.60432100,504,3.80815000,157025.43935620,0
2023-12-18 07:23:00,41232.01000000,41242.60000000,41232.00000000,41238.60000000,13.18209000,2023-12-18 07:23:59.999,543596.15066680,661,9.84774000,406089.79783650,0
2023-12-18 07:24:00,41238.61000000,41238.61000000,41224.00000000,41236.88000000,23.08428000,2023-12-18 07:24:59.999,951760.34212460,767,16.48976000,679839.50774760,0
2023-12-18 07:25:00,41236.88000000,41236.89000000,41222.70000000,41222.70000000,17.82356000,2023-12-18 07:25:59.999,734792.49489940,866,3.27539000,135031.30705500,0
2023-12-18 07:26:00,41222.70000000,41235.35000000,41222.70000000,41231.99000000,14.85548000,2023-12-18 07:26:59.999,612468.70362500,663,10.31873000,425405.45102120,0
2023-12-18 07:27:00,41232.00000000,41237.59000000,41231.99000000,41234.01000000,10.45526000,2023-12-18 07:27:59.999,431117.38615970,636,4.42546000,182477.14605290,0
2023-12-18 07:28:00,41234.00000000,41234.01000000,41221.10000000,41228.00000000,15.33615000,2023-12-18 07:28:59.999,632329.32858830,764,3.15674000,130147.00197470,0
2023-12-18 07:29:00,41227.99000000,41228.00000000,41224.51000000,41224.51000000,7.92920000,2023-12-18 07:29:59.999,326895.60177810,447,2.52162000,103955.39856000,0
2023-12-18 07:30:00,41224.51000000,41296.00000000,41224.51000000,41294.01000000,41.67649000,2023-12-18 07:30:59.999,1719227.74115800,3182,34.80367000,1435707.69446950,0
2023-12-18 07:31:00,41294.00000000,41312.39000000,41288.12000000,41305.99000000,50.31382000,2023-12-18 07:31:59.999,2077876.16333450,3986,30.33332000,1252699.15691770,0
2023-12-18 07:32:00,41305.99000000,41312.00000000,41281.10000000,41281.10000000,41.17780000,2023-12-18 07:32:59.999,1700222.80919600,2020,19.20646000,793078.98582650,0
